rank,score,vendor,slug,model,u_height,category,image_coverage,netbox_path,rationale
"13","51","HPE","hpe-aruba-2930f-48g-poep-4sfp","Aruba 2930F-48G-PoE+-4SFP","1","server","both","device-types/HPE/Aruba-2930F-48G-PoEP-4SFP.yaml","server, front+rear image, 1U footprint"
"14","43","Fortinet","fortinet-fs-424e-fiber","FortiSwitch 424E-Fiber","1","network","both","device-types/Fortinet/FS-424E-Fiber.yaml","network, front+rear image, 1U footprint"
"15","42","Palo Alto","palo-alto-pa-5440","PA-5440","2","network","both","device-types/Palo Alto/PA-5440.yaml","network, front+rear image, 2U footprint"
"16","41","Juniper","juniper-ex3400-48t","EX3400-48T","1","network","both","device-types/Juniper/EX3400-48T.yaml","network, front+rear image, 1U footprint"
"17","41","Cisco","cisco-c1300-12xt-2x","Catalyst 1300-12XT-2X","1","network","both","device-types/Cisco/C1300-12XT-2X.yaml","network, front+rear image, 1U footprint"
"18","41","Arista","arista-dcs-7020tra-48-f","DCS-7020TRA-48-F","1","network","both","device-types/Arista/DCS-7020TRA-48-F.yaml","network, front+rear image, 1U footprint"
"19","61","APC","apc-ap4450aj","AP4450AJ","1","power","both","device-types/APC/AP4450AJ.yaml","power, front+rear image, 1U footprint"
"20","49","Eaton","eaton-tripp-lite-smart2200crmxl","Tripp Lite SMART2200CRMXL","4","power","both","device-types/Eaton/Tripp-Lite-SMART2200CRMXL.yaml","power, front+rear image"
"21","51","HPE","hpe-aruba-2930f-8g-poep-2sfpp","Aruba 2930F-8G-PoE+-2SFP+","1","server","both","device-types/HPE/Aruba-2930F-8G-PoEP-2SFPP.yaml","server, front+rear image, 1U footprint"
"22","43","Fortinet","fortinet-fs-424e-fpoe","FortiSwitch 424E-FPOE","1","network","both","device-types/Fortinet/FS-424E-FPOE.yaml","network, front+rear image, 1U footprint"
"23","42","Palo Alto","palo-alto-pa-820","PA-820","1","network","both","device-types/Palo Alto/PA-820.yaml","network, front+rear image, 1U footprint"
"24","41","Juniper","juniper-ex4000-12mp","EX4000-12MP","1","network","both","device-types/Juniper/EX4000-12MP.yaml","network, front+rear image, 1U footprint"
"25","41","Cisco","cisco-c1300-16p-4x","Catalyst 1300-16P-4X","1","network","both","device-types/Cisco/C1300-16P-4X.yaml","network, front+rear image, 1U footprint"
"26","41","Arista","arista-dcs-7050cx3-32c-f","DCS-7050CX3-32C-F","1","network","both","device-types/Arista/DCS-7050CX3-32C-F.yaml","network, front+rear image, 1U footprint"
"27","61","APC","apc-ap4452a","AP4452A","1","power","both","device-types/APC/AP4452A.yaml","power, front+rear image, 1U footprint"
"28","51","HPE","hpe-aruba-2930m-24g","Aruba 2930M-24G","1","server","both","device-types/HPE/Aruba-2930M-24G.yaml","server, front+rear image, 1U footprint"
"29","43","Fortinet","fortinet-fs-424e-poe","FortiSwitch 424E-POE","1","network","both","device-types/Fortinet/FS-424E-POE.yaml","network, front+rear image, 1U footprint"
"30","42","Palo Alto","palo-alto-pa-850","PA-850","1","network","both","device-types/Palo Alto/PA-850.yaml","network, front+rear image, 1U footprint"
"31","41","Juniper","juniper-ex4000-12p","EX4000-12P","1","network","both","device-types/Juniper/EX4000-12P.yaml","network, front+rear image, 1U footprint"
"32","41","Cisco","cisco-c1300-16t-2g","Catalyst 1300-16T-2G","1","network","both","device-types/Cisco/C1300-16T-2G.yaml","network, front+rear image, 1U footprint"
"33","41","Arista","arista-dcs-7050cx3-32s-d-f","DCS-7050CX3-32S-D-F","1","network","both","device-types/Arista/DCS-7050CX3-32S-D-F.yaml","network, front+rear image, 1U footprint"
"34","51","HPE","hpe-aruba-2930m-48g","Aruba 2930M-48G","1","server","both","device-types/HPE/Aruba-2930M-48G.yaml","server, front+rear image, 1U footprint"
"35","43","Fortinet","fortinet-fs-t1024e","FortiSwitch T1024E","1","network","both","device-types/Fortinet/FS-T1024E.yaml","network, front+rear image, 1U footprint"
"36","40","Palo Alto","palo-alto-pa-5220","PA-5220","3","network","both","device-types/Palo Alto/PA-5220.yaml","network, front+rear image"
"37","41","Juniper","juniper-ex4000-12t","EX4000-12T","1","network","both","device-types/Juniper/EX4000-12T.yaml","network, front+rear image, 1U footprint"
"38","41","Cisco","cisco-c1300-16xts","Catalyst 1300-16XTS","1","network","both","device-types/Cisco/C1300-16XTS.yaml","network, front+rear image, 1U footprint"
"39","41","Arista","arista-dcs-7050cx3-32s-f","DCS-7050CX3-32S-F","1","network","both","device-types/Arista/DCS-7050CX3-32S-F.yaml","network, front+rear image, 1U footprint"
"40","51","HPE","hpe-aruba-2930m-48g-poep","Aruba 2930M-48G-PoE+","1","server","both","device-types/HPE/Aruba-2930M-48G-PoEP.yaml","server, front+rear image, 1U footprint"
"41","42","Fortinet","fortinet-fg-1000f","FortiGate 1000F","2","network","both","device-types/Fortinet/FG-1000F.yaml","network, front+rear image, 2U footprint"
"42","40","Palo Alto","palo-alto-pa-5250","PA-5250","3","network","both","device-types/Palo Alto/PA-5250.yaml","network, front+rear image"
"43","41","Juniper","juniper-ex4000-24mp","EX4000-24MP","1","network","both","device-types/Juniper/EX4000-24MP.yaml","network, front+rear image, 1U footprint"
"44","41","Cisco","cisco-c1300-24mgp-4x","Catalyst 1300-24MGP-4X","1","network","both","device-types/Cisco/C1300-24MGP-4X.yaml","network, front+rear image, 1U footprint"
"45","41","Arista","arista-dcs-7050cx4m-48d8-f","DCS-7050CX4M-48D8-F","1","network","both","device-types/Arista/DCS-7050CX4M-48D8-F.yaml","network, front+rear image, 1U footprint"
