rank,score,vendor,slug,model,u_height,category,image_coverage,netbox_path,rationale
"12","41","Cisco","cisco-c1300-24t-4g","Catalyst 1300-24T-4G","1","network","both","device-types/Cisco/C1300-24T-4G.yaml","network, front+rear image, 1U footprint"
"13","41","Arista","arista-dcs-7050dx4-32s-f","DCS-7050DX4-32S-F","1","network","both","device-types/Arista/DCS-7050DX4-32S-F.yaml","network, front+rear image, 1U footprint"
"14","30","SonicWall","sonicwall-nsa-220","NSa 220","1","network","none","device-types/SonicWall/NSa220.yaml","network, no image, 1U footprint"
"15","51","Ubiquiti","ubiquiti-unifi-switch-48-gen2","UniFi Switch 48 Gen2","1","network","none","device-types/Ubiquiti/USW-48.yaml","network, no image, 1U footprint"
"16","51","MikroTik","mikrotik-crs112-8g-4s-in","CRS112-8G-4S-IN","1","network","none","device-types/MikroTik/CRS112-8G-4S-IN.yaml","network, no image, 1U footprint"
"17","41","Eaton","eaton-tripp-lite-pdumh15ats","Tripp Lite PDUMH15ATS","1","power","none","device-types/Eaton/Tripp-Lite-PDUMH15ATS.yaml","power, no image, 1U footprint"
"18","30","Vertiv","vertiv-acs8016sac","ACS8016SAC","1","power","none","device-types/Vertiv/ACS8016SAC.yaml","power, no image, 1U footprint"
"19","41","Dell","dell-powerswitch-n1524","PowerSwitch N1524","1","network","none","device-types/Dell/PowerSwitch-N1524.yaml","network, no image, 1U footprint"
"20","40","Supermicro","supermicro-sys-2029u-e1cr25m","SuperServer 2029U-E1CR25M","2","server","none","device-types/Supermicro/SYS-2029U-E1CR25M.yaml","server, no image, 2U footprint"
"21","40","Netgear","netgear-m4250-26g4xf-poe-plus","M4250-26G4XF-PoE+ (GSM4230P)","1","network","none","device-types/Netgear/m4250-26g4xf-poep-gsm4230p.yaml","network, no image, 1U footprint"
"22","30","SonicWall","sonicwall-nsa-2650","NSa 2650","1","network","none","device-types/SonicWall/NSa2650.yaml","network, no image, 1U footprint"
"23","51","Ubiquiti","ubiquiti-unifi-switch-48-poe-gen2","UniFi Switch 48 PoE Gen2","1","network","none","device-types/Ubiquiti/USW-48-PoE.yaml","network, no image, 1U footprint"
"24","51","MikroTik","mikrotik-crs125-24g-1s-2hnd-in","CRS125-24G-1S-2HnD-IN","1","network","none","device-types/MikroTik/CRS125-24G-1S-2HnD-IN.yaml","network, no image, 1U footprint"
"25","41","Eaton","eaton-tripp-lite-pdumh15net","Tripp Lite PDUMH15NET","1","power","none","device-types/Eaton/Tripp-Lite-PDUMH15NET.yaml","power, no image, 1U footprint"
"26","30","Vertiv","vertiv-acs8032sac","ACS8032SAC","1","power","none","device-types/Vertiv/ACS8032SAC.yaml","power, no image, 1U footprint"
"27","41","Dell","dell-powerswitch-n1524p","PowerSwitch N1524P","1","network","none","device-types/Dell/PowerSwitch-N1524P.yaml","network, no image, 1U footprint"
"28","40","Supermicro","supermicro-sys-5019p-mtr","SuperServer 5019P-MTR","1","server","none","device-types/Supermicro/SYS-5019P-MTR.yaml","server, no image, 1U footprint"
"29","40","Netgear","netgear-m4300-12x12f","M4300-12X12F","1","network","none","device-types/Netgear/M4300-12X12F.yaml","network, no image, 1U footprint"
"30","30","SonicWall","sonicwall-nsa-2700","NSa 2700","1","network","none","device-types/SonicWall/NSa2700.yaml","network, no image, 1U footprint"
"31","50","Ubiquiti","ubiquiti-unifi-pro-max-16","UniFi Pro Max 16","1","network","none","device-types/Ubiquiti/USW-Pro-Max-16.yaml","network, no image, 1U footprint"
"32","51","MikroTik","mikrotik-crs125-24g-1s-in","CRS125-24G-1S-IN","1","network","none","device-types/MikroTik/CRS125-24G-1S-IN.yaml","network, no image, 1U footprint"
"33","30","Vertiv","vertiv-acs8048dac","ACS8048DAC","1","power","none","device-types/Vertiv/ACS8048DAC.yaml","power, no image, 1U footprint"
"34","41","Dell","dell-powerswitch-n1548p","PowerSwitch N1548P","1","network","none","device-types/Dell/PowerSwitch-N1548P.yaml","network, no image, 1U footprint"
"35","40","Supermicro","supermicro-sys-5019p-wtr","SuperServer 5019P-WTR","1","server","none","device-types/Supermicro/SYS-5019P-WTR.yaml","server, no image, 1U footprint"
"36","40","Netgear","netgear-ms510txm","MS510TXM","1","network","none","device-types/Netgear/MS510TXM.yaml","network, no image, 1U footprint"
"37","30","SonicWall","sonicwall-nsa-3650","NSa 3650","1","network","none","device-types/SonicWall/NSa3650.yaml","network, no image, 1U footprint"
"38","50","Ubiquiti","ubiquiti-unifi-pro-max-16-poe","UniFi Pro Max 16 PoE","1","network","none","device-types/Ubiquiti/USW-Pro-Max-16-PoE.yaml","network, no image, 1U footprint"
"39","51","MikroTik","mikrotik-crs125-24g-1s-rm","CRS125-24G-1S-RM","1","network","none","device-types/MikroTik/CRS125-24G-1S-RM.yaml","network, no image, 1U footprint"
"40","30","Vertiv","vertiv-acs8048sac","ACS8048SAC","1","power","none","device-types/Vertiv/ACS8048SAC.yaml","power, no image, 1U footprint"
"41","40","Supermicro","supermicro-sys-5019s-m","SuperServer 5019S-M","1","server","none","device-types/Supermicro/SYS-5019S-M.yaml","server, no image, 1U footprint"
"42","40","Netgear","netgear-prosafe-gs752tp","ProSafe GS752TP","1","network","none","device-types/Netgear/ProSafe-GS752TP.yaml","network, no image, 1U footprint"
"43","30","SonicWall","sonicwall-nsa-3700","NSa 3700","1","network","none","device-types/SonicWall/NSa3700.yaml","network, no image, 1U footprint"
"44","51","MikroTik","mikrotik-crs212-1g-10s-1s-plus-in","CRS212-1G-10S-1S+IN","1","network","none","device-types/MikroTik/CRS212-1G-10S-1S-Plus-IN.yaml","network, no image, 1U footprint"
"45","30","Vertiv","vertiv-gxt5-3000irt2uxl","GXT5-3000IRT2UXL","2","power","none","device-types/Vertiv/GXT5-3000IRT2UXL.yaml","power, no image, 2U footprint"
"46","40","Supermicro","supermicro-sys-5029p-wtr","SuperServer 5029P-WTR","2","server","none","device-types/Supermicro/SYS-5029P-WTR.yaml","server, no image, 2U footprint"
"47","40","Netgear","netgear-prosafe-gsm7328sv1","ProSafe GSM7328Sv1","1","network","none","device-types/Netgear/GSM7328Sv1.yaml","network, no image, 1U footprint"
"48","30","SonicWall","sonicwall-nsa-4650","NSa 4650","1","network","none","device-types/SonicWall/NSa4650.yaml","network, no image, 1U footprint"
"49","51","MikroTik","mikrotik-crs226-24g-2s-plus-rm","CRS226-24G-2S+RM","1","network","none","device-types/MikroTik/CRS226-24G-2S-Plus-RM.yaml","network, no image, 1U footprint"
"50","30","Vertiv","vertiv-sa1-01002","SA1-01002","1","power","none","device-types/Vertiv/SA1-01002.yaml","power, no image, 1U footprint"
"51","40","Supermicro","supermicro-sys-6018r-mt","SuperServer 6018R-MT","1","server","none","device-types/Supermicro/SYS-6018R-MT.yaml","server, no image, 1U footprint"
"52","40","Netgear","netgear-prosafe-gsm7328sv2","ProSafe GSM7328Sv2","1","network","none","device-types/Netgear/GSM7328Sv2.yaml","network, no image, 1U footprint"
"53","30","SonicWall","sonicwall-nsa-4700","NSa 4700","1","network","none","device-types/SonicWall/NSa4700.yaml","network, no image, 1U footprint"
"54","40","Netgear","netgear-prosafe-gsm7352sv1","ProSafe GSM7352Sv1","1","network","none","device-types/Netgear/GSM7352Sv1.yaml","network, no image, 1U footprint"
"55","30","SonicWall","sonicwall-nsa-5650","NSa 5650","1","network","none","device-types/SonicWall/NSa5650.yaml","network, no image, 1U footprint"
