rank,score,vendor,slug,model,u_height,category,image_coverage,netbox_path,rationale
"15","61","Ubiquiti","ubiquiti-unifi-smartpower-rps","UniFi SmartPower RPS","1","network","both","device-types/Ubiquiti/USP-RPS.yaml","network, front+rear image, 1U footprint"
"16","57","MikroTik","mikrotik-css318-16g-2s-plus-in","CSS318-16G-2S+IN","1","network","single","device-types/MikroTik/CSS318-16G-2S+IN.yaml","network, single-side image, 1U footprint"
"17","61","APC","apc-ap4430a","AP4430A","1","power","both","device-types/APC/AP4430A.yaml","power, front+rear image, 1U footprint"
"18","52","Eaton","eaton-tripp-lite-pdumh20hvat","Tripp Lite PDUMH20HVAT","1","power","both","device-types/Eaton/Tripp-Lite-PDUMH20HVAT.yaml","power, front+rear image, 1U footprint"
"19","52","Dell","dell-powerswitch-n3248p-on","PowerSwitch N3248P-ON","1","network","both","device-types/Dell/PowerSwitch-N3248P-ON.yaml","network, front+rear image, 1U footprint"
"20","47","Supermicro","supermicro-sys-5018d-fn8t","SuperServer 5018D-FN8T","1","server","single","device-types/Supermicro/SYS-5018D-FN8T.yaml","server, single-side image, 1U footprint"
"21","51","HPE","hpe-aruba-2530-8g","Aruba 2530-8G","1","server","both","device-types/HPE/Aruba-2530-8G.yaml","server, front+rear image, 1U footprint"
"22","43","Fortinet","fortinet-fs-1048e","FortiSwitch 1048E","1","network","both","device-types/Fortinet/FS-1048E.yaml","network, front+rear image, 1U footprint"
"23","42","Palo Alto","palo-alto-pa-5420","PA-5420","2","network","both","device-types/Palo Alto/PA-5420.yaml","network, front+rear image, 2U footprint"
"24","41","Juniper","juniper-ex2300-c-12p","EX2300-C-12P","1","network","both","device-types/Juniper/EX2300-C-12P.yaml","network, front+rear image, 1U footprint"
"25","41","Cisco","cisco-c1000-8t-2g-l","Catalyst 1000-8T-2G-L","1","network","both","device-types/Cisco/C1000-8T-2G-L.yaml","network, front+rear image, 1U footprint"
"26","41","Arista","arista-dcs-7020srg-24c2-f","DCS-7020SRG-24C2-F","1","network","both","device-types/Arista/DCS-7020SRG-24C2-F.yaml","network, front+rear image, 1U footprint"
"27","61","APC","apc-ap4431a","AP4431A","2","power","both","device-types/APC/AP4431A.yaml","power, front+rear image, 2U footprint"
"28","51","Eaton","eaton-tripp-lite-b096-032","Tripp Lite B096-032","1","power","both","device-types/Eaton/Tripp-Lite-B096-032.yaml","power, front+rear image, 1U footprint"
"29","52","Dell","dell-powerswitch-s4128f-on","PowerSwitch S4128F-ON","1","network","both","device-types/Dell/PowerSwitch-S4128F-ON.yaml","network, front+rear image, 1U footprint"
"30","47","Supermicro","supermicro-sys-5019d-fn8tp","SuperServer 5019D-FN8TP","1","server","single","device-types/Supermicro/SYS-5019D-FN8TP.yaml","server, single-side image, 1U footprint"
"31","51","HPE","hpe-aruba-2530-8g-poep","Aruba 2530-8G-PoE+","1","server","both","device-types/HPE/Aruba-2530-8G-PoEP.yaml","server, front+rear image, 1U footprint"
"32","43","Fortinet","fortinet-fs-3032e","FortiSwitch 3032E","1","network","both","device-types/Fortinet/FS-3032E.yaml","network, front+rear image, 1U footprint"
"33","61","APC","apc-ap4432a","AP4432A","2","power","both","device-types/APC/AP4432A.yaml","power, front+rear image, 2U footprint"
"34","48","Dell","dell-powerswitch-n1548","PowerSwitch N1548","1","network","single","device-types/Dell/PowerSwitch-N1548.yaml","network, single-side image, 1U footprint"
"35","61","APC","apc-ap4433","AP4433","1","power","both","device-types/APC/AP4433.yaml","power, front+rear image, 1U footprint"
"36","51","Ubiquiti","ubiquiti-unifi-switch-24-gen2","UniFi Switch 24 Gen2","1","network","none","device-types/Ubiquiti/USW-24.yaml","network, no image, 1U footprint"
"37","51","MikroTik","mikrotik-crs106-1c-5s","CRS106-1C-5S","1","network","none","device-types/MikroTik/CRS106-1C-5S.yaml","network, no image, 1U footprint"
"38","61","APC","apc-ap4433a","AP4433A","1","power","both","device-types/APC/AP4433A.yaml","power, front+rear image, 1U footprint"
"39","51","Eaton","eaton-tripp-lite-b097-016","Tripp Lite B097-016","1","power","both","device-types/Eaton/Tripp-Lite-B097-016.yaml","power, front+rear image, 1U footprint"
"40","30","Vertiv","vertiv-acs8008sac","ACS8008SAC","1","power","none","device-types/Vertiv/ACS8008SAC.yaml","power, no image, 1U footprint"
